11:54:19.083 257 nwk_neighbor.c:390	<<exnb_by_short 0
11:54:19.083 257 nwk_discovery.c:258	ch 12
11:54:19.084 257 nwk_discovery.c:343	zb_free_buf: zb_mlme_beacon_notify_indication
11:54:19.084 257 zb_bufpool.c:234	=================
11:54:19.084 257 zb_bufpool.c:235	FREE BUF 0x5575685f7c10 
11:54:19.084 257 zb_bufpool.c:236	ref 4
11:54:19.084 257 zb_bufpool.c:237	allocated 0: 3
11:54:19.084 257 zb_bufpool.c:238	allocated 1: 1
11:54:19.084 257 zb_bufpool.c:239	=================
11:54:19.084 257 zb_bufpool.c:268	free_buf: 1/3 buf 0x5575685f7c10, next 0x5575685f7cb0, head 0x5575685f7c10
11:54:19.084 257 nwk_discovery.c:348	<<zb_mlme_beacon_notify_indication
11:54:19.084 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:19.084 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:19.084 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:19.084 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:19.084 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
11:54:19.084 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
11:54:20.085 257 zb_mac_transport_linux_pipes.c:548	delta 1003 (65)
11:54:20.086 323 zb_mac_transport_linux_pipes.c:569	timer 323, delta_rest 0
11:54:20.086 323 zb_mac_transport_linux_pipes.c:590	timeout
11:54:20.086 323 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:20.086 323 zb_scheduler.c:145	0x5575685f76c8 calling alarm cb 0x5575683d1619 param 0
11:54:20.086 323 nwk_cr_mesh_routing.c:736	>> exp_r_disc
11:54:20.086 323 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f76e8
11:54:20.086 323 zb_scheduler.c:294	0x5575685f76e8 scheduled alarm 0x5575683d1619, run_after 130, at 453, param 0
11:54:20.086 323 zb_scheduler.c:349	cur t 323, head t 325
11:54:20.086 323 nwk_cr_mesh_routing.c:784	<< exp_r_disc
11:54:20.086 323 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:20.086 323 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:20.086 323 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:20.086 323 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:20.086 323 zb_mac_transport_linux_pipes.c:513	timer stop 325 timer 323  tmo 2
11:54:20.086 323 zb_mac_transport_linux_pipes.c:529	select() timeout 0.30000
11:54:20.125 323 zb_mac_transport_linux_pipes.c:548	delta 40 (2)
11:54:20.126 325 zb_mac_transport_linux_pipes.c:569	timer 325, delta_rest 0
11:54:20.126 325 zb_mac_transport_linux_pipes.c:590	timeout
11:54:20.126 325 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:20.126 325 zb_scheduler.c:145	0x5575685f7708 calling alarm cb 0x5575683d1950 param 0
11:54:20.126 325 nwk_cr_mesh_routing.c:791	>> exp_pend
11:54:20.126 325 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f76c8
11:54:20.126 325 zb_scheduler.c:294	0x5575685f76c8 scheduled alarm 0x5575683d1950, run_after 325, at 650, param 0
11:54:20.126 325 zb_scheduler.c:349	cur t 325, head t 453
11:54:20.126 325 nwk_cr_mesh_routing.c:821	<< exp_pend
11:54:20.126 325 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:20.126 325 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:20.126 325 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:20.126 325 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:20.126 325 zb_mac_transport_linux_pipes.c:524	default timeout 1
11:54:20.126 325 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
11:54:21.127 325 zb_mac_transport_linux_pipes.c:548	delta 1001 (65)
11:54:21.127 390 zb_mac_transport_linux_pipes.c:569	timer 390, delta_rest 0
11:54:21.127 390 zb_mac_transport_linux_pipes.c:590	timeout
11:54:21.127 390 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:21.127 390 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:21.127 390 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:21.127 390 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:21.127 390 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:21.127 390 zb_mac_transport_linux_pipes.c:513	timer stop 453 timer 390  tmo 63
11:54:21.128 390 zb_mac_transport_linux_pipes.c:529	select() timeout 0.963000
11:54:22.091 390 zb_mac_transport_linux_pipes.c:548	delta 964 (63)
11:54:22.091 453 zb_mac_transport_linux_pipes.c:569	timer 453, delta_rest 0
11:54:22.091 453 zb_mac_transport_linux_pipes.c:590	timeout
11:54:22.091 453 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:22.091 453 zb_scheduler.c:145	0x5575685f76e8 calling alarm cb 0x5575683d1619 param 0
11:54:22.091 453 nwk_cr_mesh_routing.c:736	>> exp_r_disc
11:54:22.091 453 zb_scheduler.c:283	tm_freelist, get nent 0x5575685f7708
11:54:22.091 453 zb_scheduler.c:294	0x5575685f7708 scheduled alarm 0x5575683d1619, run_after 130, at 583, param 0
11:54:22.091 453 zb_scheduler.c:349	cur t 453, head t 514
11:54:22.091 453 nwk_cr_mesh_routing.c:784	<< exp_r_disc
11:54:22.091 453 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
11:54:22.091 453 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
11:54:22.092 453 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
11:54:22.092 453 zb_mac_transport_linux_pipes.c:507	timer started = 1
11:54:22.092 453 zb_mac_transport_linux_pipes.c:524	default timeout 1
11:54:22.092 453 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
11:54:23.092 453 zb_mac_transport_linux_pipes.c:548	delta 1001 (65)
11:54:23.093 518 zb_mac_transport_linux_pipes.c:569	timer 518, delta_rest 0
11:54:23.093 518 zb_mac_transport_linux_pipes.c:590	timeout
11:54:23.093 518 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
11:54:23.093 518 zb_scheduler.c:145	0x5575685f7728 calling alarm cb 0x5575683e6692 param 0
11:54:23.093 518 mac_scan.c:208	>> zb_mlme_scan_step
11:54:23.093 518 mac_scan.c:312	beacon found 1
11:54:23.093 518 zb_scheduler.c:254	0x5575685f7430 scheduled cb 0x5575683c8585 param 3 (in_b 0)
11:54:23.093 518 mac_scan.c:338	<< zb_mlme_scan_step
11:54:23.093 518 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
11:54:23.093 518 zb_scheduler.c:115	0x5575685f7430 calling cb 0x5575683c8585 param 3 in_b 0 len 0
11:54:23.093 518 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
11:54:23.093 518 nwk_discovery.c:356	nwk state 1
11:54:23.093 518 nwk_discovery.c:372	disc_count 0
11:54:23.093 518 zb_address.c:155	>>zb_address_get_pan_id pan_id_reference 2 pan_id 0x5575685f7b93
11:54:23.093 518 zb_address.c:161	<<zb_address_get_pan_id
11:54:23.093 518 zb_address.c:213	>>zb_address_cmp_pan_id_by_ref pan_id_reference 2 pan_id 0x5575685f7b93
11:54:23.093 518 zb_address.c:219	<<zb_address_cmp_pan_id_by_ref 1
11:54:23.093 518 zb_scheduler.c:254	0x5575685f7440 scheduled cb 0x5575683dc29e param 3 (in_b 0)
11:54:23.093 518 nwk_discovery.c:495	<<zb_mlme_scan_confirm
